KHOI,CAP0,PRODUCT_CODE,CAP1,CAP2,CAP3,CAP4,CAP1_VN,CAP2_VN,CAP3_VN,CAP4_VN,TRANSACTION_DATE,SPKHCN,KHOI_CAP1,SP_KHCN
TCKT,,14111,HUY DONG,,,,Huy động,Huy động không kỳ hạn,Huy động không kỳ hạn,TK thẻ NewPlus,2023-07-26 00:00:00.0000000,,,
SME,BAO_LANH,31311,BAO LANH,XAC NHAN CUNG CAP TIN DUNG,XAC NHAN CUNG CAP TIN DUNG,XAC NHAN CUNG CAP TIN DUNG,Bảo lãnh,Xác nhận cung cấp tín dụng,Xác nhận cung cấp tín dụng,Xác nhận cung cấp tín dụng,2021-01-01 00:00:00.0000000,,,
TCKT,,14131,HUY DONG,,,,Huy động,Huy động không kỳ hạn,Huy động không kỳ hạn,TK thẻ trả trước Bankplus Simple (Bankplus S),2023-07-26 00:00:00.0000000,,,
NHS,HDV&TT,14131,TAI KHOAN THE TRA TRUOC,THE TRA TRUOC DANH CHO KHCN,THE TRA TRUOC NOI DIA DANH CHO KHCN,TK THE TRA TRUOC BANKPLUS SIMPLE (BANKPLUS S) SP SO  (NANG CAP THANH THE VIETTEL PAY),Tài khoản thẻ trả trước,Thẻ trả trước dành cho KHCN,Thẻ trả trước nội địa dành cho KHCN,TK thẻ trả trước Bankplus Simple (Bankplus S) SP SO  (nâng cấp thành thẻ Viettel Pay),2022-03-09 00:00:00.0000000,,NHS,
TCKT,,21181,CHO VAY,,,,Cho vay,SXKD,CV SXKD quay vòng,Cho vay Hộ trồng lúa,2023-07-26 00:00:00.0000000,,,
TOAN_HANG,,14131,Tài khoản thẻ trả trước,Thẻ trả trước dành cho KHCN,Thẻ trả trước nội địa dành cho KHCN,TK thẻ trả trước Bankplus Simple (Bankplus S) SP SO (nâng cấp thành thẻ Viettel Pay),Tài khoản thẻ trả trước,Thẻ trả trước dành cho KHCN,Thẻ trả trước nội địa dành cho KHCN,TK thẻ trả trước Bankplus Simple (Bankplus S) SP SO (nâng cấp thành thẻ Viettel Pay),2021-01-01 00:00:00.0000000,,,
CIB,BAO_LANH,31311,BAO LANH,XAC NHAN CUNG CAP TIN DUNG,XAC NHAN CUNG CAP TIN DUNG,XAC NHAN CUNG CAP TIN DUNG,Bảo lãnh,Xác nhận cung cấp tín dụng,Xác nhận cung cấp tín dụng,Xác nhận cung cấp tín dụng,2021-01-01 00:00:00.0000000,,,
TOAN_HANG,,12111,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm không kì hạn,Tiết kiệm không kì hạn tại quầy,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm không kì hạn,Tiết kiệm không kì hạn tại quầy,2021-01-01 00:00:00.0000000,,,
TCKT,,12111,HUY DONG,,,,Huy động,Huy động không kỳ hạn,Huy động không kỳ hạn,Tiết kiệm không kì hạn,2023-07-26 00:00:00.0000000,,,
INDIV,HDV&TT,12111,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIET KIEM KHONG KI HAN,TIET KIEM KHONG KI HAN TAI QUAY,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm không kì hạn,Tiết kiệm không kì hạn tại quầy,2022-03-09 00:00:00.0000000,TKTK/TGCKH,INDIV,TKTK/TGCKH
